Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
63	China National Offshore Oil	"$108,130.40 "	32.70%	"$7,331.10 "	"$177,193.60 "	142.90%	"93,601"	24	https://fortune.com/global500/2019/china-national-offshore-oil	China	Energy	"Mining, Crude-Oil Production"	Yang Hua	Beijing	https://www.cnooc.com.cn
64	Nippon Telegraph & Telephone	"$107,146.90 "	0.60%	"$7,707.50 "	"$201,456.10 "	-6.10%	"303,351"	-9	https://fortune.com/global500/2019/nippon-telegraph-telephone	Japan	Telecommunications	Telecommunications	Jun Sawada	Tokyo	https://www.ntt.co.jp
65	Itochu	"$104,627.30 "	110.40%	"$4,514.30 "	"$91,250.60 "	24.90%	"139,157"	139	https://fortune.com/global500/2019/itochu	Japan	Wholesalers	Trading	Masahiro Okafuji	"Osaka, Japan"	https://www.itochu.co.jp
66	Nissan Motor	"$104,390.60 "	-3.20%	"$2,878.40 "	"$171,251.00 "	-57.30%	"148,513"	-12	https://fortune.com/global500/2019/nissan-motor	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Hiroto Saikawa	"Yokohama, Japan"	https://www.nissan-global.com
67	China Development Bank	"$103,072.90 "	28.30%	"$16,744.30 "	"$2,356,616.20 "	0.70%	"9,507"	-	https://fortune.com/global500/2019/china-development-bank	China	Financials	Banks: Commercial and Savings	Zheng Zhijie	Beijing	https://www.cdb.com.cn
68	Boeing	"$101,127.00 "	8.30%	"$10,460.00 "	"$117,359.00 "	27.60%	"153,000"	-4	https://fortune.com/global500/2019/boeing	U.S.	Aerospace & Defense	Aerospace and Defense	Dennis A. Muilenburg	Chicago	https://www.boeing.com
69	Wells Fargo	"$101,060.00 "	3.40%	"$22,393.00 "	"$1,895,883.00 "	0.90%	"258,700"	-7	https://fortune.com/global500/2019/wells-fargo	U.S.	Financials	Banks: Commercial and Savings	C. Allen Parker	San Francisco	https://www.wellsfargo.com
70	Siemens	"$98,802.00 "	7.90%	"$6,908.90 "	"$161,335.90 "	3.60%	"379,000"	-4	https://fortune.com/global500/2019/siemens	Germany	Industrials	Industrial Machinery	Josef Kaeser	Munich	https://www.siemens.com
71	Citigroup	"$97,120.00 "	10.40%	"$18,045.00 "	"$1,917,383.00 "	-	"204,000"	5	https://fortune.com/global500/2019/citigroup	U.S.	Financials	Banks: Commercial and Savings	Michael L. Corbat	New York City	https://www.citigroup.com
72	Marathon Petroleum	"$97,102.00 "	43.60%	"$2,780.00 "	"$92,940.00 "	-19%	"60,350"	59	https://fortune.com/global500/2019/marathon-petroleum	U.S.	Energy	Petroleum Refining	Gary R. Heminger	"Findlay, Ohio"	https://www.marathonpetroleum.com
73	SK Holdings	"$95,904.50 "	14.80%	"$2,048.00 "	"$107,069.10 "	38%	"104,374"	11	https://fortune.com/global500/2019/sk-holdings	South Korea	Energy	Petroleum Refining	Tae-Won Chey/Dong-Hyun Jang	Seoul	https://www.sk.co.kr
74	Petrobras	"$95,584.00 "	7.60%	"$7,173.00 "	"$222,068.00 "	-	"63,361"	-1	https://fortune.com/global500/2019/petrobras	Brazil	Energy	Petroleum Refining	Roberto da Cunha Castello Branco	Rio de Janeiro	https://www.petrobras.com.br
75	Comcast	"$94,507.00 "	11.80%	"$11,731.00 "	"$251,684.00 "	-48.40%	"184,000"	5	https://fortune.com/global500/2019/comcast	U.S.	Telecommunications	Telecommunications	Brian L. Roberts	Philadelphia	https://www.comcastcorporation.com
76	Nestlé	"$93,512.50 "	2.50%	"$10,364.80 "	"$139,045.10 "	42%	"308,000"	-7	https://fortune.com/global500/2019/nestle	Switzerland	"Food, Beverages & Tobacco"	Food Consumer Products	Ulf Mark Schneider	"Vevey, Switzerland"	https://www.nestle.com
77	Bosch Group	"$92,601.90 "	5.20%	"$3,596.00 "	"$95,616.50 "	15.90%	"409,881"	-2	https://fortune.com/global500/2019/robert-bosch	Germany	Motor Vehicles & Parts	Motor Vehicles and Parts	Volkmar Denner	"Stuttgart, Germany"	https://www.bosch.com
78	Uniper	"$92,260.80 "	13.30%	($533.40)	"$57,841.50 "	-	"11,828"	10	https://fortune.com/global500/2019/uniper	Germany	Energy	Energy	Andreas Schierenbeck	"D眉sseldorf, Germany"	https://www.uniper.energy
79	Anthem	"$92,105.00 "	2.30%	"$3,750.00 "	"$71,571.00 "	-2.40%	"63,900"	-9	https://fortune.com/global500/2019/anthem	U.S.	Health Care	Health Care: Insurance and Managed Care	Gail K. Boudreaux	Indianapolis	https://www.antheminc.com
80	China Resources	"$91,986.00 "	11.90%	"$3,474.60 "	"$209,651.50 "	10.20%	"421,274"	6	https://fortune.com/global500/2019/china-resources-national	China	Health Care	Pharmaceuticals	Wang Xiangming	Hong Kong	https://www.crc.com.hk
81	Carrefour	"$91,955.20 "	0.70%	($662.10)	"$54,153.10 "	-	"363,862"	-13	https://fortune.com/global500/2019/carrefour	France	Food & Drug Stores	Food and Drug Stores	Alexandre Bompard	"Massey, France"	https://www.carrefour.com
82	Dongfeng Motor	"$90,934.20 "	-2.50%	"$1,599.70 "	"$66,397.10 "	14.30%	"167,528"	-17	https://fortune.com/global500/2019/dongfeng-motor	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Li Shaozhu	"Wuhan, China"	https://www.dfmc.com.cn
83	ENI	"$90,799.80 "	13.50%	"$4,869.40 "	"$135,300.30 "	28%	"31,701"	6	https://fortune.com/global500/2019/eni	Italy	Energy	Petroleum Refining	Claudio Descalzi	Rome	https://www.eni.com
84	Dell Technologies	"$90,621.00 "	15.20%	"($2,310.00)"	"$111,820.00 "	-	"157,000"	9	https://fortune.com/global500/2019/dell-technologies	U.S.	Technology	"Computers, Office Equipment"	Michael S. Dell	"Round Rock, Texas"	https://www.delltechnologies.com
85	Banco Santander	"$90,531.90 "	3.60%	"$9,217.10 "	"$1,667,946.80 "	23.50%	"194,015"	-8	https://fortune.com/global500/2019/banco-santander	Spain	Financials	Banks: Commercial and Savings	Jos茅 Antonio 脕lvarez	Madrid	https://www.santander.com
86	Rosneft Oil	"$90,055.00 "	25%	"$8,745.80 "	"$189,980.10 "	129.70%	"308,000"	29	https://fortune.com/global500/2019/rosneft-oil	Russia	Energy	Petroleum Refining	Igor I. Sechin	Moscow	https://www.rosneft.com
87	China FAW Group	"$89,804.70 "	29.20%	"$2,660.30 "	"$66,682.90 "	-6.80%	"142,451"	38	https://fortune.com/global500/2019/china-faw-group	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Xu Liuping	"Changchun, China"	https://www.faw.com.cn
88	Sinochem Group	"$89,358.10 "	16.40%	$701.40 	"$71,332.70 "	-6.90%	"66,713"	10	https://fortune.com/global500/2019/sinochem-group	China	Wholesalers	Trading	Ning Gaoning	Beijing	https://www.sinochem.com
89	Enel	"$89,305.70 "	6.10%	"$5,651.80 "	"$189,079.60 "	32.70%	"69,272"	-6	https://fortune.com/global500/2019/enel	Italy	Energy	Utilities	Francesco Starace	Rome	https://www.enel.com
90	Deutsche Telekom	"$89,286.80 "	5.70%	"$2,556.20 "	"$166,163.60 "	-34.50%	"215,675"	-9	https://fortune.com/global500/2019/deutsche-telekom	Germany	Telecommunications	Telecommunications	Timotheus H枚ttges	"Bonn, Germany"	https://www.telekom.com
91	Crédit Agricole	"$88,325.00 "	4.90%	"$5,192.70 "	"$1,856,682.30 "	26.20%	"73,346"	-9	https://fortune.com/global500/2019/credit-agricole	France	Financials	Banks: Commercial and Savings	Philippe Brassac	Paris	https://www.credit-agricole.com
92	Assicurazioni Generali	"$88,157.40 "	-12.30%	"$2,725.00 "	"$589,590.30 "	14.60%	"70,734"	-33	https://fortune.com/global500/2019/assicurazioni-generali	Italy	Financials	"Insurance: Life, Health (stock)"	Philippe R. Donnet	"Trieste, Italy"	https://www.generali.com
93	China Communications Construction	"$88,140.90 "	11%	"$1,585.20 "	"$198,943.70 "	2.60%	"178,572"	-2	https://fortune.com/global500/2019/china-communications-construction	China	Engineering & Construction	"Engineering, Construction"	Liu Qitao	Beijing	https://www.ccccltd.cn
94	Hyundai Motor	"$87,999.20 "	3.20%	"$1,370.80 "	"$161,921.40 "	-61.60%	"122,217"	-16	https://fortune.com/global500/2019/hyundai-motor	South Korea	Motor Vehicles & Parts	Motor Vehicles and Parts	Won-Hee Lee /Mong-Koo Chung	Seoul	https://www.hyundai.com/worldwide/
95	Pemex	"$87,403.30 "	18.40%	"($9,377.90)"	"$105,384.40 "	-	"131,108"	12	https://fortune.com/global500/2019/pemex	Mexico	Energy	"Mining, Crude-Oil Production"	Octavio Romero Oropeza	Mexico City	https://www.pemex.com
96	Peugeot	"$87,364.30 "	18.90%	"$3,336.30 "	"$70,811.10 "	53.40%	"216,539"	12	https://fortune.com/global500/2019/peugeot	France	Motor Vehicles & Parts	Motor Vehicles and Parts	Carlos Tavares	"Rueil-Malmaison, France"	https://www.groupe-psa.com
97	Pacific Construction Group	"$86,622.60 "	12.20%	"$3,390.90 "	"$58,175.00 "	7.90%	"387,525"	-1	https://fortune.com/global500/2019/pacific-construction-group	China	Engineering & Construction	"Engineering, Construction"	Yan Hao	"Urumqi, China"	https://www.cpcg.com.cn
98	SoftBank Group	"$86,604.70 "	4.80%	"$12,727.90 "	"$326,163.20 "	35.70%	"76,866"	-13	https://fortune.com/global500/2019/softbank-group	Japan	Telecommunications	Telecommunications	Masayoshi Son	Tokyo	https://group.softbank/en/
99	HSBC Holdings	"$86,131.00 "	8.20%	"$13,727.00 "	"$2,558,124.00 "	27.10%	"235,217"	-9	https://fortune.com/global500/2019/hsbc-holdings	Britain	Financials	Banks: Commercial and Savings	John Flint	London	https://www.hsbc.com
100	DuPont	"$85,977.00 "	37.20%	"$3,844.00 "	"$188,030.00 "	163.30%	"98,000"	47	https://fortune.com/global500/2019/dow-chemical	U.S.	Chemicals	Chemicals	C. Marc Doyle	"Wilmington, Del."	https://www.dupont.com
101	China Post Group	"$85,627.90 "	18.60%	"$4,133.60 "	"$1,429,122.30 "	-16.70%	"935,191"	12	https://fortune.com/global500/2019/china-post-group	China	Transportation	"Mail, Package, and Freight Delivery"	Liu Aili	Beijing	https://www.chinapost.com.cn
