Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
140	China North Industries Group	"$68,777.70 "	6.40%	$966.40 	"$57,675.40 "	12.70%	"210,507"	-	https://fortune.com/global500/2019/china-north-industries-group	China	Aerospace & Defense	Aerospace and Defense	Jiao Kaihe	Beijing	https://www.norincogroup.com.cn
141	China Telecommunications	"$68,709.50 "	7.40%	"$1,664.60 "	"$122,945.90 "	-8.50%	"403,014"	-	https://fortune.com/global500/2019/china-telecommunications	China	Telecommunications	Telecommunications	Ke Ruiwen	Beijing	https://www.chinatelecom.com.cn
142	MetLife	"$67,941.00 "	2.70%	"$5,123.00 "	"$687,538.00 "	27.80%	"48,000"	-6	https://fortune.com/global500/2019/metlife	U.S.	Financials	"Insurance: Life, Health (stock)"	Michel A. Khalaf	New York City	https://www.metlife.com
143	Renault	"$67,764.10 "	2.30%	"$3,896.90 "	"$131,440.40 "	-32.40%	"183,002"	-9	https://fortune.com/global500/2019/renault	France	Motor Vehicles & Parts	Motor Vehicles and Parts	Thierry Bollor茅	"Boulogne-Billancourt, France"	https://www.groupe.renault.com
144	ChemChina	"$67,397.50 "	16.20%	"($2,207.60)"	"$116,353.60 "	-	"138,652"	23	https://fortune.com/global500/2019/chemchina	China	Chemicals	Chemicals	Yang Xingqiang	Beijing	https://www.chemchina.com
145	Munich Re Group	"$67,225.90 "	-4.20%	"$2,726.20 "	"$308,802.00 "	544.90%	"41,410"	-25	https://fortune.com/global500/2019/munich-re-group	Germany	Financials	Insurance: Property and Casualty (Stock)	Joachim Wenning	Munich	https://www.munichre.com
146	Procter & Gamble	"$66,832.00 "	0.90%	"$9,750.00 "	"$118,310.00 "	-36.40%	"92,000"	-11	https://fortune.com/global500/2019/procter-gamble	U.S.	Household Products	Household and Personal Products	David S. Taylor	Cincinnati	https://www.pg.com
147	Marubeni	"$66,753.50 "	-1.90%	"$2,082.50 "	"$61,526.00 "	9.20%	"46,711"	-17	https://fortune.com/global500/2019/marubeni	Japan	Wholesalers	Trading	Masumi Kakinoki	Tokyo	https://www.marubeni.com
148	United Technologies	"$66,501.00 "	11.10%	"$5,269.00 "	"$134,211.00 "	15.80%	"240,200"	11	https://fortune.com/global500/2019/united-technologies	U.S.	Aerospace & Defense	Aerospace and Defense	Gregory J. Hayes	"Farmington, Conn."	https://www.utc.com
149	China Baowu Steel Group	"$66,310.00 "	12.50%	"$2,168.20 "	"$103,676.10 "	721.30%	"161,399"	13	https://fortune.com/global500/2019/china-baowu-steel-group	China	Materials	Metals	Chen Derong	Shanghai	https://www.baowugroup.com
150	Bank of Communications	"$65,644.80 "	13.70%	"$11,131.30 "	"$1,388,230.00 "	7.10%	"92,714"	18	https://fortune.com/global500/2019/bank-of-communications	China	Financials	Banks: Commercial and Savings	Ren Deqi	Shanghai	https://www.bankcomm.com
151	Aviation Industry Corp. of China	"$65,534.40 "	10.60%	$695 	"$138,082.70 "	91.40%	"446,613"	10	https://fortune.com/global500/2019/aviation-industry-corp-of-china	China	Aerospace & Defense	Aerospace and Defense	Luo Ronghuai	Beijing	https://www.avic.com
152	FedEx	"$65,450.00 "	8.50%	"$4,572.00 "	"$52,330.00 "	52.60%	"359,530"	3	https://fortune.com/global500/2019/fedex	U.S.	Transportation	"Mail, Package, and Freight Delivery"	Frederick W. Smith	Memphis	https://www.fedex.com
153	Dai-ichi Life Holdings	"$64,794.90 "	2%	"$2,029.60 "	"$505,478.10 "	-38.20%	"62,938"	-8	https://fortune.com/global500/2019/dai-ichi-life-holdings	Japan	Financials	"Insurance: Life, Health (stock)"	Seiji Inagaki	Tokyo	https://www.dai-ichi-life-hd.com
154	PepsiCo	"$64,661.00 "	1.80%	"$12,515.00 "	"$77,648.00 "	157.70%	"267,000"	-10	https://fortune.com/global500/2019/pepsico	U.S.	"Food, Beverages & Tobacco"	Food Consumer Products	Ramon L. Laguarta	"Purchase, N.Y."	https://www.pepsico.com
155	Archer Daniels Midland	"$64,341.00 "	5.80%	"$1,810.00 "	"$40,833.00 "	13.50%	"31,600"	-3	https://fortune.com/global500/2019/archer-daniels-midland	U.S.	"Food, Beverages & Tobacco"	Food Production	Juan R. Luciano	Chicago	https://www.adm.com
156	Prudential Financial	"$62,992.00 "	5.50%	"$4,074.00 "	"$815,078.00 "	-48.20%	"50,492"	4	https://fortune.com/global500/2019/prudential-financial	U.S.	Financials	"Insurance: Life, Health (stock)"	Charles F. Lowrey	"Newark, N.J."	https://www.prudential.com
157	Mitsui	"$62,751.40 "	42.10%	"$3,735.90 "	"$107,940.50 "	-1.10%	"43,993"	89	https://fortune.com/global500/2019/mitsui	Japan	Wholesalers	Trading	Tatsuo Yasunaga	Tokyo	https://www.mitsui.com
158	Petronas	"$62,230.60 "	19.60%	"$11,868.30 "	"$154,071.20 "	35.50%	"48,001"	33	https://fortune.com/global500/2019/petronas	Malaysia	Energy	Petroleum Refining	Wan Zulkiflee Wan Ariffin	Kuala Lumpur	https://www.petronas.com
159	Seven & I Holdings	"$61,486.50 "	13.40%	"$1,838.00 "	"$52,069.20 "	13%	"58,165"	20	https://fortune.com/global500/2019/seven-i-holdings	Japan	Food & Drug Stores	Food and Drug Stores	Ryuichi Isaka	Tokyo	https://www.7andi.com
160	Oil & Natural Gas	"$61,420.40 "	19.90%	"$4,360.60 "	"$71,563.40 "	27.20%	"43,743"	37	https://fortune.com/global500/2019/oil-natural-gas	India	Energy	"Mining, Crude-Oil Production"	Shashi Shanker	New Delhi	https://www.ongcindia.com
161	PowerChina	"$61,224.00 "	13.70%	$803.80 	"$123,815.20 "	-15.10%	"185,269"	21	https://fortune.com/global500/2019/powerchina	China	Engineering & Construction	"Engineering, Construction"	Yan Zhiyong	Beijing	https://www.powerchina.cn
162	Toyota Tsusho	"$60,994.30 "	4.10%	"$1,196.10 "	"$40,132.50 "	1.80%	"58,565"	3	https://fortune.com/global500/2019/toyota-tsusho	Japan	Wholesalers	Trading	Ichiro Kashitani	"Nagoya, Japan"	https://www.toyota-tsusho.com
163	Roche Group	"$60,846.20 "	7.40%	"$10,738.10 "	"$79,680.30 "	22.40%	"94,442"	6	https://fortune.com/global500/2019/roche-group	Switzerland	Health Care	Pharmaceuticals	Severin Schwan	"Basel, Switzerland"	https://www.roche.com
164	Auchan Holding	"$60,749.20 "	1.20%	"($1,351.30)"	"$41,073.70 "	-535.90%	"340,577"	-8	https://fortune.com/global500/2019/auchan-holding	France	Food & Drug Stores	Food and Drug Stores	Edgard Bonte	"Croix, France"	https://www.auchan-holding.com
165	Albertsons Cos.	"$60,534.50 "	1%	$131.10 	"$20,776.60 "	183.20%	"267,000"	-8	https://fortune.com/global500/2019/albertsons-cos	U.S.	Food & Drug Stores	Food and Drug Stores	Vivek Sankaran	"Boise, Idaho"	https://www.albertsonscompanies.com
166	Mitsubishi UFJ Financial Group	"$60,405.30 "	10.30%	"$7,871.00 "	"$2,811,411.40 "	-11.90%	"119,390"	11	https://fortune.com/global500/2019/mitsubishi-ufj-financial-group	Japan	Financials	Banks: Commercial and Savings	Mike Kanetsugu	Tokyo	https://www.mufg.jp
167	Unilever	"$60,167.30 "	-0.60%	"$11,080.60 "	"$67,958.20 "	62.40%	"154,848"	-14	https://fortune.com/global500/2019/unilever	Britain/Neth.	Household Products	Household and Personal Products	Alan W. Jope	London	https://www.unilever.com
168	Centene	"$60,116.00 "	23.80%	$900 	"$30,901.00 "	8.70%	"47,300"	42	https://fortune.com/global500/2019/centene	U.S.	Health Care	Health Care: Insurance and Managed Care	Michael F. Neidorff	St. Louis	https://www.centene.com
169	Sinopharm	"$59,980.20 "	15.70%	$884.40 	"$49,823.40 "	28.20%	"128,600"	25	https://fortune.com/global500/2019/sinopharm	China	Health Care	Pharmaceuticals	She Lulin	Beijing	https://www.sinopharm.com
170	Walt Disney	"$59,434.00 "	7.80%	"$12,598.00 "	"$98,598.00 "	40.30%	"201,000"	6	https://fortune.com/global500/2019/disney	U.S.	Media	Entertainment	Robert A. Iger	"Burbank, Calif."	https://www.thewaltdisneycompany.com
171	POSCO	"$59,223.20 "	11.20%	"$1,556.10 "	"$70,607.70 "	-36.20%	"33,784"	13	https://fortune.com/global500/2019/posco	South Korea	Materials	Metals	Jeong-Woo Choi	Seoul	https://www.posco.com
172	Sysco	"$58,727.30 "	6.10%	"$1,430.80 "	"$18,070.40 "	25.20%	"67,000"	2	https://fortune.com/global500/2019/sysco	U.S.	Wholesalers	Wholesalers: Food and Grocery	Thomas L. Ben茅	Houston	https://www.sysco.com
173	HP	"$58,472.00 "	12.30%	"$5,327.00 "	"$34,622.00 "	110.90%	"55,000"	17	https://fortune.com/global500/2019/hp	U.S.	Technology	"Computers, Office Equipment"	Dion J. Weisler	"Palo Alto, Calif."	https://www.hp.com
174	Société Générale	"$58,390.00 "	-16.50%	"$4,560.20 "	"$1,496,676.20 "	44.20%	"140,250"	-53	https://fortune.com/global500/2019/societe-generale	France	Financials	Banks: Commercial and Savings	Fr茅d茅ric Oud茅a	Paris	https://www.societegenerale.com
175	Pertamina	"$57,933.60 "	34.90%	"$2,526.80 "	"$64,718.50 "	-0.50%	"31,569"	78	https://fortune.com/global500/2019/pertamina	Indonesia	Energy	Petroleum Refining	Nicke Widyawati	Jakarta	https://www.pertamina.com
176	Telefónica	"$57,465.90 "	-2%	"$3,931.10 "	"$130,355.70 "	11.30%	"120,138"	-12	https://fortune.com/global500/2019/telefonica	Spain	Telecommunications	Telecommunications	Jos茅 Mar铆a 脕lvarez-Pallete L贸pez	Madrid	https://www.telefonica.com
177	Country Garden Holdings	"$57,308.70 "	70.70%	"$5,233.50 "	"$237,367.50 "	35.70%	"131,387"	176	https://fortune.com/global500/2019/country-garden-holdings	China	Financials	Real estate	Mo Bin	"Foshan, China"	https://www.countrygarden.com.cn
178	Tokyo Electric Power	"$57,167.40 "	8.30%	"$2,096.10 "	"$115,274.20 "	-27%	"41,086"	8	https://fortune.com/global500/2019/tokyo-electric-power	Japan	Energy	Utilities	Tomoaki Kobayakawa	Tokyo	https://www.tepco.co.jp
179	Humana	"$56,912.00 "	5.80%	"$1,683.00 "	"$25,413.00 "	-31.30%	"41,600"	4	https://fortune.com/global500/2019/humana	U.S.	Health Care	Health Care: Insurance and Managed Care	Bruce D. Broussard	"Louisville, Ky."	https://www.humana.com
180	Brookfield Asset Management	"$56,771.00 "	39.20%	"$3,584.00 "	"$256,281.00 "	145.10%	"100,750"	92	https://fortune.com/global500/2019/brookfield-asset-management	Canada	Financials	Diversified Financials	J. Bruce Flatt	"Toronto, Ontario, Canada"	https://www.brookfield.com
181	Hengli Group	"$56,198.60 "	23.30%	$582.90 	"$22,400.30 "	-42.60%	"81,350"	54	https://fortune.com/global500/2019/hengli-group	China	Industrials	Textiles	Chen Jianhua	"Suzhou City, China"	https://www.hengli.com
182	Alibaba Group Holding	"$56,147.20 "	48.70%	"$13,094.40 "	"$143,608.20 "	35.40%	"101,958"	118	https://fortune.com/global500/2019/alibaba-group-holding	China	Retailing	Internet Services and Retailing	Daniel Zhang	"Hangzhou, China"	https://www.alibabagroup.com
183	RWE	"$56,016.70 "	17.10%	$465 	"$91,563.40 "	-78.80%	"58,441"	31	https://fortune.com/global500/2019/rwe	Germany	Energy	Utilities	Rolf Martin Schmitz	"Essen, Germany"	https://www.rwe.com
184	Facebook	"$55,838.00 "	37.40%	"$22,112.00 "	"$97,334.00 "	38.80%	"35,587"	90	https://fortune.com/global500/2019/facebook	U.S.	Technology	Internet Services and Retailing	Mark Zuckerberg	"Menlo Park, Calif."	https://www.facebook.com
185	LG Electronics	"$55,757.40 "	2.70%	"$1,127.20 "	"$39,731.50 "	-26.20%	"72,600"	-7	https://fortune.com/global500/2019/lg-electronics	South Korea	Technology	"Electronics, Electrical Equip."	Seoung-Jin Jo	Seoul	https://www.lg.com
186	Nippon Steel Corporation	"$55,720.20 "	8.10%	"$2,265.30 "	"$72,734.50 "	38.80%	"115,878"	12	https://fortune.com/global500/2019/nippon-steel-sumitomo-metal	Japan	Materials	Metals	Eiji Hashimoto	Tokyo	https://www.nipponsteel.com
187	Christian Dior	"$55,262.60 "	12.30%	"$3,037.80 "	"$88,320.80 "	20.30%	"141,914"	21	https://fortune.com/global500/2019/christian-dior	France	Apparel	Apparel	Sidney Toledano	Paris	https://www.dior-finance.com
188	China Merchants Bank	"$55,063.50 "	15.20%	"$12,179.00 "	"$982,526.00 "	17.30%	"74,590"	25	https://fortune.com/global500/2019/china-merchants-bank	China	Financials	Banks: Commercial and Savings	Tian Huiyu	"Shenzhen, China"	https://www.cmbchina.com
189	Guangzhou Automobile Industry Group	"$55,037.20 "	9.40%	$885.50 	"$42,549.70 "	-10.50%	"113,474"	13	https://fortune.com/global500/2019/guangzhou-automobile-industry-group	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Zeng Qinghong	"Guangzhou, China"	https://www.gagc.com.cn
190	Caterpillar	"$54,722.00 "	20.40%	"$6,147.00 "	"$78,509.00 "	715.30%	"104,000"	48	https://fortune.com/global500/2019/caterpillar	U.S.	Industrials	Construction and Farm Machinery	D. James Umpleby III	"Deerfield, Ill."	https://www.caterpillar.com
191	Itaú Unibanco Holding	"$54,662.50 "	-17.50%	"$6,814.80 "	"$400,690.80 "	-9%	"100,335"	-58	https://fortune.com/global500/2019/itau-unibanco-holding	Brazil	Financials	Banks: Commercial and Savings	C?ndido Botelho Bracher	S茫o Paulo	https://www.itau.com.br
192	Anheuser-Busch InBev	"$54,619.00 "	-3.20%	"$4,368.00 "	"$232,103.00 "	-45.40%	"172,603"	-22	https://fortune.com/global500/2019/anheuser-busch-inbev	Belgium	"Food, Beverages & Tobacco"	Beverages	Carlos Brito	"Leuven, Belgium"	https://www.ab-inbev.com
193	Korea Electric Power	"$54,567.90 "	4%	"($1,194.90)"	"$166,038.40 "	-204%	"46,377"	-5	https://fortune.com/global500/2019/korea-electric-power	South Korea	Energy	Utilities	JongKap Kim	"Jeollanam-do, South Korea"	https://www.kepco.co.kr
194	Energy Transfer	"$54,436.00 "	14.60%	"$1,694.00 "	"$88,246.00 "	77.60%	"11,768"	23	https://fortune.com/global500/2019/energy-transfer-equity	U.S.	Energy	Pipelines	Kelcy L. Warren	Dallas	https://www.energytransfer.com
195	Wesfarmers	"$53,985.30 "	4.60%	$927.40 	"$27,282.40 "	-57.20%	"217,000"	-	https://fortune.com/global500/2019/wesfarmers	Australia	Food & Drug Stores	Food and Drug Stores	Robert G. Scott	"Perth, Australia"	https://www.wesfarmers.com.au
196	América Móvil	"$53,977.60 "	-0.10%	"$2,733.00 "	"$72,580.00 "	76.30%	"194,431"	-16	https://fortune.com/global500/2019/america-movil	Mexico	Telecommunications	Telecommunications	Daniel Hajj Aboumrad	Mexico City	https://www.americamovil.com
197	Lockheed Martin	"$53,762.00 "	5.30%	"$5,046.00 "	"$44,876.00 "	152%	"105,000"	3	https://fortune.com/global500/2019/lockheed-martin	U.S.	Aerospace & Defense	Aerospace and Defense	Marillyn A. Hewson	"Bethesda, Md."	https://www.lockheedmartin.com
198	Pfizer	"$53,647.00 "	2.10%	"$11,153.00 "	"$159,422.00 "	-47.70%	"92,400"	-11	https://fortune.com/global500/2019/pfizer	U.S.	Health Care	Pharmaceuticals	Albert Bourla	New York City	https://www.pfizer.com
199	China Pacific Insurance (Group)	"$53,572.10 "	13.20%	"$2,724.10 "	"$194,584.50 "	25.60%	"107,741"	21	https://fortune.com/global500/2019/china-pacific-insurance-group	China	Financials	"Insurance: Life, Health (stock)"	He Qing	Shanghai	https://www.cpic.com.cn
200	Repsol	"$53,176.00 "	27%	"$2,762.80 "	"$69,469.30 "	15.60%	"22,735"	62	https://fortune.com/global500/2019/repsol	Spain	Energy	Petroleum Refining	Josu Jon Imaz San Miguel	Madrid	https://www.repsol.com
201	Novartis	"$53,166.00 "	6%	"$12,611.00 "	"$145,563.00 "	63.70%	"125,161"	2	https://fortune.com/global500/2019/novartis	Switzerland	Health Care	Pharmaceuticals	Vasant Narasimhan	"Basel, Switzerland"	https://www.novartis.com
202	Greenland Holding Group	"$52,720.90 "	22.70%	"$1,719.60 "	"$150,974.50 "	28.60%	"39,091"	50	https://fortune.com/global500/2019/greenland-holding-group	China	Financials	Real estate	Zhang Yuliang	Shanghai	https://www.ldjt.com.cn
203	China National Building Material Group	"$52,610.60 "	17.70%	$69.40 	"$84,608.20 "	356.30%	"207,958"	40	https://fortune.com/global500/2019/china-national-building-material-group	China	Materials	"Building Materials, Glass"	Song Zhiping	Beijing	https://www.cnbm.com.cn
204	Goldman Sachs Group	"$52,528.00 "	24.30%	"$10,459.00 "	"$931,796.00 "	144%	"36,600"	55	https://fortune.com/global500/2019/goldman-sachs-group	U.S.	Financials	Banks: Commercial and Savings	David M. Solomon	New York City	https://www.goldmansachs.com
205	Continental	"$52,404.70 "	5.60%	"$3,419.30 "	"$46,229.10 "	1.60%	"243,226"	1	https://fortune.com/global500/2019/continental	Germany	Motor Vehicles & Parts	Motor Vehicles and Parts	Elmar Degenhart	"Hanover, Germany"	https://www.continental-corporation.com
206	Vinci	"$52,345.20 "	13.10%	"$3,520.40 "	"$86,133.10 "	13.70%	"211,233"	20	https://fortune.com/global500/2019/vinci	France	Engineering & Construction	"Engineering, Construction"	Xavier Huillard	"Rueil-Malmaison, France"	https://www.vinci.com
207	Finatis	"$52,272.00 "	1.30%	($208.90)	"$45,172.50 "	-	"218,923"	-11	https://fortune.com/global500/2019/finatis	France	Food & Drug Stores	Food and Drug Stores	Didier L茅v锚que	Paris	https://www.finatis.fr
208	Deutsche Bahn	"$52,004.10 "	8.10%	$623.10 	"$66,896.40 "	-25.80%	"318,528"	3	https://fortune.com/global500/2019/deutsche-bahn	Germany	Transportation	Railroads	Richard Lutz	Berlin	https://www.deutschebahn.com
209	Sumitomo Mitsui Financial Group	"$51,728.00 "	-0.60%	"$6,554.10 "	"$1,840,238.10 "	-1.10%	"86,659"	-17	https://fortune.com/global500/2019/sumitomo-mitsui-financial-group	Japan	Financials	Banks: Commercial and Savings	Jun Ohta	Tokyo	https://www.smfg.co.jp
210	Alimentation Couche-Tard	"$51,394.40 "	35.60%	"$1,673.60 "	"$23,140.60 "	38.40%	"130,000"	89	https://fortune.com/global500/2019/alimentation-couche-tard	Canada	Food & Drug Stores	Food and Drug Stores	Brian P. Hannasch	"Laval, Quebec, Canada"	https://corpo.couche-tard.com
211	Shandong Energy Group	"$51,245.60 "	12.30%	$573 	"$43,756.60 "	17.10%	"160,064"	23	https://fortune.com/global500/2019/shandong-energy-group	China	Energy	"Mining, Crude-Oil Production"	Li Weimin	"Jinan , China"	https://www.snjt.com
212	Lenovo Group	"$51,037.90 "	12.50%	$596.30 	"$29,988.50 "	-	"57,000"	28	https://fortune.com/global500/2019/lenovo-group	China	Technology	"Computers, Office Equipment"	Yang Yuanqing	Hong Kong	https://www.lenovo.com
213	Industrial Bank	"$50,991.40 "	12.10%	"$9,164.50 "	"$977,563.40 "	8.30%	"59,659"	24	https://fortune.com/global500/2019/industrial-bank	China	Financials	Banks: Commercial and Savings	Tao Yiping	"Fuzhou, China"	https://www.cib.com.cn
214	HBIS Group	"$50,920.60 "	12.20%	($77.80)	"$63,725.20 "	-	"118,656"	25	https://fortune.com/global500/2019/hbis-group	China	Materials	Metals	Yu Yong	"Shijiazhuang, China"	https://www.hbisco.com
215	ThyssenKrupp	"$50,856.10 "	7.30%	$9.50 	"$39,334.30 "	-	"161,096"	3	https://fortune.com/global500/2019/thyssenkrupp	Germany	Materials	Metals	Guido Kerkhoff	"Essen, Germany"	https://www.thyssenkrupp.com
216	Shanghai Pudong Development Bank	"$50,545.70 "	9.20%	"$8,453.00 "	"$916,091.00 "	5.30%	"55,692"	11	https://fortune.com/global500/2019/shanghai-pudong-development-bank	China	Financials	Banks: Commercial and Savings	Gao Guofu	Shanghai	https://www.spdb.com.cn
217	Vodafone Group	"$50,532.40 "	-15.60%	"($9,281.10)"	"$160,391.20 "	-425.70%	"98,996"	-59	https://fortune.com/global500/2019/vodafone-group	Britain	Telecommunications	Telecommunications	Nick Read	"Newbury, Britain"	https://www.vodafone.com
218	Morgan Stanley	"$50,193.00 "	15%	"$8,748.00 "	"$853,531.00 "	43.20%	"60,348"	31	https://fortune.com/global500/2019/morgan-stanley	U.S.	Financials	Banks: Commercial and Savings	James P. Gorman	New York City	https://www.morganstanley.com
219	JBS	"$49,709.70 "	-2.80%	$6.90 	"$29,454.70 "	-95.90%	"230,086"	-20	https://fortune.com/global500/2019/jbs	Brazil	"Food, Beverages & Tobacco"	Food Production	Gilberto Tomazoni	S茫o Paulo	https://jbss.infoinvest.com.br/
220	Zhejiang Geely Holding Group	"$49,665.40 "	20.60%	"$1,969.30 "	"$48,564.80 "	8.20%	"124,846"	47	https://fortune.com/global500/2019/zhejiang-geely-holding-group	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Li Shufu	"Hangzhou, China"	https://www.geely.com
221	Banco Bradesco	"$49,612.30 "	-14.60%	"$4,537.50 "	"$336,888.40 "	-15.20%	"86,772"	-55	https://fortune.com/global500/2019/banco-bradesco	Brazil	Financials	Banks: Commercial and Savings	Octavio de Lazari	"Osasco, Brazil"	https://www.bradesco.com.br
222	MS&AD Insurance Group Holdings	"$49,609.60 "	5.30%	"$1,738.00 "	"$209,022.70 "	25%	"41,467"	-1	https://fortune.com/global500/2019/msad-insurance-group-holdings	Japan	Financials	Insurance: Property and Casualty (Stock)	Yasuyoshi Karasawa	Tokyo	https://www.ms-ad-hd.com
223	Groupe BPCE	"$49,529.30 "	-19%	"$3,571.20 "	"$1,456,097.40 "	4.80%	"100,245"	-72	https://fortune.com/global500/2019/groupe-bpce	France	Financials	Banks: Commercial and Savings	Laurent Mignon	Paris	https://www.groupebpce.com
224	Tokio Marine Holdings	"$49,395.70 "	1.40%	"$2,476.50 "	"$203,590.90 "	-3.40%	"40,848"	-15	https://fortune.com/global500/2019/tokio-marine-holdings	Japan	Financials	Insurance: Property and Casualty (Stock)	Tsuyoshi Nagano	Tokyo	https://www.tokiomarinehd.com
225	Cisco Systems	"$49,330.00 "	2.80%	$110 	"$108,784.00 "	-98.90%	"74,200"	-13	https://fortune.com/global500/2019/cisco-systems	U.S.	Technology	Network and Other Communications Equipment	Charles H. Robbins	"San Jose, Calif."	https://www.cisco.com
226	Saint-Gobain	"$49,300.40 "	7.20%	$495.70 	"$50,340.00 "	-71.90%	"181,001"	5	https://fortune.com/global500/2019/saint-gobain	France	Materials	"Building Materials, Glass"	Pierre-Andr茅 de Chalendar	"Courbevoie, France"	https://www.saint-gobain.com
227	Kia Motors	"$49,238.40 "	4%	"$1,050.70 "	"$46,416.20 "	22.70%	"52,578"	-8	https://fortune.com/global500/2019/kia-motors	South Korea	Motor Vehicles & Parts	Motor Vehicles and Parts	Han-Woo Park	Seoul	https://www.kia.com
228	Orange	"$48,836.50 "	5.40%	"$2,306.00 "	"$110,404.70 "	7.30%	"150,711"	-3	https://fortune.com/global500/2019/orange	France	Telecommunications	Telecommunications	St茅phane Richard	Paris	https://www.orange.com
229	Cigna	"$48,650.00 "	16.90%	"$2,637.00 "	"$153,226.00 "	17.90%	"73,800"	34	https://fortune.com/global500/2019/cigna	U.S.	Health Care	Health Care: Insurance and Managed Care	David M. Cordani	"Bloomfield, Conn."	https://www.cigna.com
230	Denso	"$48,368.00 "	4.90%	"$2,295.60 "	"$52,339.50 "	-20.70%	"171,992"	-1	https://fortune.com/global500/2019/denso	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Koji Arima	"Kariya, Japan"	https://www.denso.com/global
231	Sumitomo	"$48,155.70 "	10.50%	"$2,890.90 "	"$71,532.70 "	3.80%	"65,662"	19	https://fortune.com/global500/2019/sumitomo	Japan	Wholesalers	Trading	Masayuki Hyodo	Tokyo	https://www.sumitomocorp.co.jp
232	China Minsheng Banking	"$47,981.30 "	10.80%	"$7,608.40 "	"$873,155.30 "	3.20%	"58,338"	19	https://fortune.com/global500/2019/china-minsheng-banking	China	Financials	Banks: Commercial and Savings	Zheng Wanchun	Beijing	https://www.cmbc.com.cn%20
233	Woolworths Group	"$47,842.10 "	3.60%	"$1,335.70 "	"$17,402.30 "	15.50%	"201,522"	-5	https://fortune.com/global500/2019/woolworths	Australia	Food & Drug Stores	Food and Drug Stores	Brad Banducci	"Bella Vista, Australia"	https://www.woolworthslimited.com.au
234	Banco Bilbao Vizcaya Argentaria	"$47,608.00 "	2.40%	"$6,283.20 "	"$773,455.50 "	58.40%	"125,627"	-10	https://fortune.com/global500/2019/banco-bilbao-vizcaya-argentaria	Spain	Financials	Banks: Commercial and Savings	Onur Gen莽	"Bilbao, Spain"	https://www.bbva.com
235	American International Group	"$47,389.00 "	-4.30%	($6)	"$491,984.00 "	-	"49,600"	-28	https://fortune.com/global500/2019/aig	U.S.	Financials	Insurance: Property and Casualty (Stock)	Brian Duperreault	New York City	https://www.aig.com
236	State Bank of India	"$47,286.00 "	-0.60%	$328.80 	"$561,369.60 "	-	"257,252"	-20	https://fortune.com/global500/2019/state-bank-of-india	India	Financials	Banks: Commercial and Savings	Rajnish Kumar	Mumbai	https://www.sbi.co.in
237	Tencent Holdings	"$47,272.70 "	34.40%	"$11,900.60 "	"$105,382.00 "	12.50%	"54,309"	94	https://fortune.com/global500/2019/tencent-holdings	China	Technology	Internet Services and Retailing	Pony Ma	"Shenzhen, China"	https://www.tencent.com
238	Zurich Insurance Group	"$47,180.00 "	-26.20%	"$3,716.00 "	"$395,342.00 "	23.70%	"52,267"	-96	https://fortune.com/global500/2019/zurich-insurance-group	Switzerland	Financials	Insurance: Property and Casualty (Stock)	Mario Greco	Zurich	https://www.zurich.com
239	Deutsche Bank	"$46,969.50 "	1%	$315.10 	"$1,540,920.60 "	-	"91,737"	-16	https://fortune.com/global500/2019/deutsche-bank	Germany	Financials	Banks: Commercial and Savings	Christian Sewing	Frankfurt	https://www.db.com
240	Bayer	"$46,718.10 "	-10%	"$2,000.40 "	"$144,343.80 "	-75.80%	"116,998"	-47	https://fortune.com/global500/2019/bayer	Germany	Health Care	Pharmaceuticals	Werner Baumann	"Leverkusen, Germany"	https://www.bayer.com
241	HCA Healthcare	"$46,677.00 "	-2%	"$3,787.00 "	"$39,207.00 "	70.90%	"229,000"	-26	https://fortune.com/global500/2019/hca-holdings	U.S.	Health Care	Health Care: Medical Facilities	Samuel N. Hazen	Nashville	https://www.hcahealthcare.com
242	China Poly Group	"$46,207.10 "	24.90%	"$1,495.90 "	"$158,364.30 "	29.80%	"97,527"	70	https://fortune.com/global500/2019/china-poly-group	China	Financials	Real estate	Zhang Zhengao	Beijing	https://www.poly.com.cn
243	China Shipbuilding Industry	"$46,114.40 "	3.80%	$930.20 	"$73,372.60 "	29.80%	"165,274"	2	https://fortune.com/global500/2019/china-shipbuilding-industry	China	Transportation	Shipping	Hu Wenming	Beijing	https://www.csic.com.cn
244	China Merchants Group	"$45,925.70 "	14.90%	"$4,468.70 "	"$203,620.60 "	10.60%	"115,281"	36	https://fortune.com/global500/2019/china-merchants-group	China	Transportation	"Mail, Package, and Freight Delivery"	Li Jianhong	Hong Kong	https://www.cmhk.com
245	KDDI	"$45,820.80 "	0.70%	"$5,570.90 "	"$66,236.70 "	7.80%	"41,996"	-9	https://fortune.com/global500/2019/kddi	Japan	Telecommunications	Telecommunications	Makoto Takahashi	Tokyo	https://www.kddi.com
246	BHP Group	"$45,809.00 "	19.70%	"$3,705.00 "	"$111,993.00 "	-37.10%	"27,161"	50	https://fortune.com/global500/2019/bhp-billiton	Australia	Energy	"Mining, Crude-Oil Production"	Andrew Mackenzie	Melbourne	https://www.bhp.com
